Dc(%) Dc(MBD) dPTime matrixTime localdensityTime relativedistanceTime ccidentificationTime clusterassignTime
0.1 0.0541533 0.00101616 3.67118 0.00516716 0.0150918 0.000713985 5.8094e-05
0.2 0.0765267 0.00101616 3.67118 0.00514628 0.0154285 0.000659595 5.557e-05
0.3 0.0918333 0.00101616 3.67118 0.00505303 0.015042 0.000669754 5.4475e-05
0.4 0.104373 0.00101616 3.67118 0.0050394 0.0151421 0.000648485 5.502e-05
0.5 0.11358 0.00101616 3.67118 0.00507178 0.0154447 0.00067579 5.5043e-05
0.6 0.12042 0.00101616 3.67118 0.00510028 0.0177542 0.000735812 5.5359e-05
0.7 0.12664 0.00101616 3.67118 0.00519667 0.0165872 0.00073657 5.5214e-05
0.8 0.1328 0.00101616 3.67118 0.00518819 0.0168628 0.000738458 5.5216e-05
0.9 0.138667 0.00101616 3.67118 0.00519906 0.0168327 0.000747393 5.4759e-05
1 0.144293 0.00101616 3.67118 0.00522245 0.0184871 0.000757141 5.5106e-05
1.1 0.149127 0.00101616 3.67118 0.00524937 0.0168455 0.000743779 6.9065e-05
1.2 0.15362 0.00101616 3.67118 0.00527896 0.0167255 0.000760292 5.4445e-05
1.3 0.1584 0.00101616 3.67118 0.00529921 0.01697 0.000769338 5.4991e-05
1.4 0.162467 0.00101616 3.67118 0.00532099 0.0183533 0.00079775 5.4438e-05
1.5 0.166493 0.00101616 3.67118 0.00540583 0.0171414 0.000782841 5.5025e-05
1.6 0.170287 0.00101616 3.67118 0.00539575 0.017022 0.000790645 5.433e-05
1.7 0.174273 0.00101616 3.67118 0.00541542 0.0168789 0.000779129 5.4987e-05
1.8 0.177833 0.00101616 3.67118 0.00546047 0.0180076 0.000828675 5.452e-05
1.9 0.181567 0.00101616 3.67118 0.00547011 0.0169639 0.000802172 5.4989e-05
2 0.185073 0.00101616 3.67118 0.00545543 0.0170617 0.000826901 5.4454e-05
2.1 0.18862 0.00101616 3.67118 0.00550297 0.0170124 0.000801179 5.5148e-05
